year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
2011,"Horror, Thriller",108,"Colombia, Argentina, Spain",5.3,1449,6937,38
2011,"Comedy, Drama, Musical",105,"Canada, USA",6.3,379,6965,19
2005,Sci-Fi,80,"Germany, France, Austria, UK",6.2,3172,6970,56
1964,Drama,117,"Italy, France",7.7,12370,7076,84
1964,"Crime, Drama, Mystery",130,USA,7.2,41413,7095,90
1976,"Comedy, Drama",115,Italy,7.8,7015,7144,22
1951,"Drama, Romance",96,Sweden,7.6,4613,7200,38
2003,Drama,90,USA,6.6,360,7212,5
2014,"Action, Thriller",100,"USA, Russia",4.1,1362,7289,7
1997,"Comedy, Drama",96,USA,5.5,396,7326,8
2009,"Comedy, Drama",90,Australia,5.6,137,7366,8
2017,"Comedy, Romance",88,Dominican Republic,7.4,267,7389,1
1935,"Comedy, Romance",98,USA,7.6,1094,7478,15
2015,"Comedy, Drama, Horror",98,UK,5.6,4130,7528,104
2016,"Comedy, Drama",85,"Serbia, Croatia",7.1,912,7536,10
1979,"Fantasy, Horror, Mystery",192,"Taiwan, Hong Kong, South Korea",7.3,533,7640,24
2004,Drama,86,"Austria, Luxembourg",5.8,276,7656,11
2014,"Romance, Thriller",113,South Korea,5.9,683,7713,7
2018,Drama,102,"Turkey, Germany, Romania",6.9,123,7813,7
2000,"Crime, Drama, Thriller",106,Sweden,7.1,914,7836,8
2015,Comedy,138,India,8.3,2232,7876,
2009,"Crime, Drama, Mystery",91,USA,6.1,5193,7943,27
2010,"Drama, Fantasy, Thriller",88,"Belgium, Netherlands",6,706,7947,28
1990,"Drama, Thriller",105,UK,6.8,538,7991,13
2011,"Drama, Music",80,USA,5.7,216,8100,9
1970,Drama,80,West Germany,6.7,1518,8144,24
1981,"Drama, Music, Romance",120,West Germany,7.2,3359,8144,31
2014,Comedy,95,Argentina,6.5,1046,8155,5
1995,"Crime, Drama, Thriller",110,UK,5.3,302,8225,9
1962,Drama,98,Brazil,8.3,2393,8229,9
2015,"Comedy, Drama, Music",98,USA,5.2,1994,8317,22
2012,Thriller,162,India,7.7,935,8323,1
1996,Drama,115,South Korea,6.7,769,8354,6
2011,"Action, Thriller",132,India,3.7,268,8406,2
2010,"Drama, Romance",85,"Uruguay, Brazil",6.7,209,8412,14
2016,"Action, Horror, Sci-Fi",91,USA,4.4,7058,8459,52
2018,"Comedy, Drama",83,USA,5.9,1353,8472,8
