zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
1,left,0.0042284040999999205,447,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.01406103848999976,447,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.0067929936879997975,447,average
1,right,0.013506340228,447,average
1,left,0.012090488640000103,901,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.028598408120000158,901,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.011926353769999877,901,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.027807569120000153,901,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.01856523258999971,901,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.02447080034999999,901,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.011705906750000281,901,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.028478325099999893,901,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.011887415819999773,901,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.02763723230000039,901,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.013235079513999947,901,average
1,right,0.027398466998000116,901,average
1,left,0.007005137500000274,584,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.019878517850000322,584,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.006971811139999886,584,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.01844453970000018,584,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.010844867810000096,584,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.011896287710000024,584,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.004517317180000191,584,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.018765558179999857,584,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0069274725200000374,584,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.019014319919999707,584,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.007253321230000097,584,average
1,right,0.017599844672000018,584,average
1,left,0.00996789745000001,717,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.020514061439999978,717,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.009833659459999922,717,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.02016213174000029,717,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.013736226299999998,717,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.020371795770000176,717,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.00967260591000013,717,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.020863211579999756,717,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.008052887480000095,717,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.020142842000000202,717,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.010252655320000031,717,average
1,right,0.02041080850600008,717,average
1,left,0.005722815419999847,471,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.012570682069999749,471,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.005556499269999904,471,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.012171596139999678,471,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.008564943449999873,471,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.011984340079999925,471,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.006036356019999971,471,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.01298502783999993,471,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.005572092200000042,471,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.014491594630000009,471,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.006290541271999928,471,average
1,right,0.012840648151999859,471,average
1,left,0.01197905803000026,861,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.024289061609999864,861,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.011803938970000444,861,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.024133942060000208,861,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.016312330100000168,861,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.024450120409999842,861,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.011599043100000017,861,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.02507763424000018,861,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.009622650009999916,861,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.024405008439999848,861,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.01226340404200016,861,average
1,right,0.02447115335199999,861,average
1,left,0.02040042143999983,1434,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.04049685537000016,1434,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.019816103200000157,1434,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.04031933598999956,1434,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.02762490522999997,1434,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.041050827299999926,1434,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.019664282830000275,1434,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.04212470626000027,1434,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.01622188682000001,1434,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.04045797486999959,1434,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.02074551990400005,1434,average
1,right,0.0408899399579999,1434,average
1,left,0.004781751699999859,392,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.010556500419999679,392,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.004693799710000235,392,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.009981040710000002,392,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.007210895420000156,392,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.009950946189999855,392,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.005121062659999893,392,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.010857019189999732,392,[3.0;  7.0];  [300000000;  1057523835.5]
